episode,total_reward
1,-1340.3974668383598
2,-1389.8227970302105
3,-1347.3242528140545
4,-1391.5669876933098
5,-1363.652036741376
6,-1375.1501305103302
7,-1387.8592822253704
8,-1424.1514690816402
9,-1422.3324118554592
10,-1326.0417455732822
11,-1324.7922848165035
12,-1366.5231533646584
13,-1358.4871198832989
14,-1329.3375970572233
15,-1434.9367019236088
16,-1345.2252470999956
17,-1347.0813852250576
18,-1386.5521956980228
19,-1401.4237029850483
20,-1421.4203803241253
21,-1371.8115431070328
22,-1376.6802660226822
23,-1352.633978009224
24,-1431.6133643984795
25,-1428.2013163864613
26,-1361.5747886300087
27,-1432.8205980062485
28,-1390.2698712050915
29,-1379.387583911419
