episode,total_reward
1,-1473.2161548882723
2,-1483.6313179209828
3,-1492.815108180046
4,-1491.1607983782887
5,-1493.750474832952
6,-1493.2035927772522
7,-1492.896998219192
8,-1493.314198948443
9,-1494.9438617378473
10,-1458.3421118184924
11,-1456.2117275074124
12,-1457.0240705013275
13,-1460.5131566226482
14,-1480.9221703186631
15,-1437.7722913473845
16,-1448.0479050576687
17,-1444.8827819824219
18,-1416.8168986737728
19,-1443.158009558916
20,-1433.9578694701195
21,-1176.0276674628258
22,-1218.0977953076363
23,-1406.6461147964
24,-1355.2790971696377
25,-1338.9182812273502
26,-1299.543251723051
27,-835.9779733717442
28,-1067.759515374899
29,-1220.9835966825485
30,-1260.392964065075
31,-1221.088337302208
32,-1088.5114060342312
33,-1306.350584089756
34,-1204.2162853181362
35,-1235.3426028192043
36,-1176.4220392107964
37,-1264.2059738337994
38,-1304.1318691968918
39,-1248.613255918026
40,-959.6345748305321
41,-1199.4353184103966
42,-1135.5006563067436
43,-1000.0213937759399
44,-1188.3118656277657
45,-1341.232870131731
46,-1197.3293836712837
47,-1265.9406951069832
48,-178.57506415247917
49,-19.91749995946884
50,-1368.5793664753437
51,-1140.2679834067822
52,-1334.5540473759174
