episode,total_reward
1,-1496.895943760872
2,-1504.2944852858782
3,-1494.3983563110232
4,-1505.9013799577951
5,-1503.7654522359371
6,-1504.6485328227282
7,-1515.940652936697
8,-1513.7180659100413
